station_id,station_name,station_description,station_latitude,station_longitude
472,Arendalsgata,over veien fra Sagen Kirke,59.9378,10.7541
452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
397,Storo Storsenter,langs Vitaminveien,59.94671044754387,10.773805285879131
537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648
739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232
970,Enerhaugen,ved Sørligata,59.91320242563816,10.767579386407874
601,Rolf Wickstrøms vei,ved Bergrådveien,59.9534114,10.7577241
403,Parkveien,ved trikkestoppet,59.921768,10.730476
461,Vålerenga,langs Ingeborgs gate,59.908576,10.786856
380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
560,Gaustad T-bane,langs Slemdalsveien,59.945955,10.710392
746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321
612,Ensjøveien,ved turvei,59.91662195885618,10.783309055819714
2270,Lørenporten,på torget utenfor Parallell,59.92871096669328,10.79991480182082
457,Trondheimsveien,ved trikkestoppet,59.9230577,10.7717192
459,Valkyrieplassen,ved Bogstadveien,59.9281319,10.71842
485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072
599,Paléhaven,langs Strandgata,59.910331,10.75011
518,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045
602,Jarlsborgveien,ved Hoffsveien,59.9304645,10.6757833
471,Marienlyst,ved bensinstasjon,59.932432498521095,10.721762294477472
592,Badebakken,langs Maridalsveien,59.94558091179507,10.760323881579982
508,Majorstuen T-bane,ved passasje mot Sørkedalsveien,59.92985724219502,10.71456623677068
576,Dronningens gate,sør for Karl Johan,59.911392299457006,10.747281829592453
453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.71026280326126
416,Tannlegehøyskolen,langs Geitmyrsveien,59.932383,10.741475
594,Kampen park Øst,langs Bøgata,59.915182,10.782129
2307,Domus Athletica,ved Vestgrensa Studentby,59.946219381760216,10.724626314653564
451,Suhms gate,ved Oslo døvekirke,59.929419,10.726195
487,Carl Berners plass nord,ved Hasleveien,59.926929,10.776971
564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388
455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503
617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118864
533,Sørvest for Slottsparken,langs Henrik Ibsens gate,59.915262,10.7253157
591,Grenseveien,ved Togbru,59.92464487862039,10.781726510450724
406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996
581,Jordalgata,ved Galgeberg busstopp,59.908227,10.781088
535,Uranienborgveien,vest for Slottsparken,59.9200421,10.726634
614,Sinsen T-bane,langs Hans Nielsen Hauges gate,59.938863086921295,10.780603250331886
552,Trelastgata,ved Nordenga bru,59.90800465532893,10.7625700380287
615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061
478,Jernbanetorget,Europarådets plass,59.911901,10.749929
486,Blindern Studenthus,langs Blindernveien,59.93522040770026,10.726476622250004
425,Adamstuen,ved trikkestoppen,59.932792,10.734457
458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837
420,Bjølsendumpa,langs Treschows gate,59.94032925181832,10.766136667493829
378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708
532,Brynseng T-bane,Ved Østensjøveien,59.90918420865812,10.81431433498766
470,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien,59.92979845370007,10.743540765932096
597,Fredensborg,ved rundkjøringen,59.920995,10.750358
2334,Nybrua holdeplass,Vest for Storgata der den krysser Hausmanns gate,59.916544926082935,10.757428972017069
516,Finnmarksgata,ved Telavåggata,59.922839,10.775658
499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058
525,Myraløkka Øst,ved Bentsenbrua,59.937205,10.7605813
567,Forskningsveien,ved SINTEF,59.94545063370256,10.713867957672134
387,Studenterlunden,langs Karl Johan,59.914586,10.735453
393,Hans Nielsen Hauges plass,langs Hans Nielsen Hauges gate,59.939244,10.774319
513,Bøkkerveien,ved HasleLinje,59.9273747,10.7960147
534,Filipstadveien,langs busslommen,59.9102277,10.7208788
413,Majorstuen,på Vinkelplassen,59.929045,10.716926
399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862
550,Thereses gate,ved Bislett trikkestopp,59.9261462,10.7310355
383,Arkitekt Rivertz Plass,langs Uelands gate,59.934936,10.749466
565,Mailundveien,sør for Torshovdalen,59.9309181,10.7728203
556,Pilestredet,ved Sporveisgata,59.9262242,10.7296246
2306,Økern Portal,ved Dag Hammarskjölds vei,59.930903961728745,10.80193969590286
