started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2019-04-28 18:42:58+02:00,2019-04-29 20:07:22+02:00,91464,479,526
2019-04-28 20:07:06+02:00,2019-04-29 22:48:21+02:00,96075,577,462
2019-04-29 19:46:55+02:00,2019-04-30 23:12:57+02:00,98762,440,526
2019-04-29 22:34:32+02:00,2019-05-01 04:26:34+02:00,107521,421,545
2019-05-01 13:06:01+02:00,2019-05-02 17:30:06+02:00,102244,449,541
2019-05-02 18:51:11+02:00,2019-05-06 20:50:24+02:00,352753,421,507
2019-05-04 13:35:57+02:00,2019-05-05 19:01:26+02:00,105929,482,600
2019-05-04 14:53:20+02:00,2019-05-10 17:40:42+02:00,528442,406,401
2019-05-05 15:17:26+02:00,2019-05-06 15:26:24+02:00,86937,597,597
2019-05-05 16:12:11+02:00,2019-05-16 14:20:47+02:00,943715,534,454
2019-05-06 20:17:42+02:00,2019-05-08 07:10:57+02:00,125595,485,460
2019-05-07 14:27:40+02:00,2019-05-09 01:52:17+02:00,127477,386,564
2019-05-08 18:11:06+02:00,2019-05-16 01:16:34+02:00,630328,421,502
2019-05-08 20:27:40+02:00,2019-05-10 10:02:50+02:00,135310,734,569
2019-05-08 21:17:37+02:00,2019-05-19 20:24:54+02:00,947237,398,598
2019-05-08 22:49:03+02:00,2019-05-11 14:57:35+02:00,230912,408,497
2019-05-09 07:43:31+02:00,2019-05-11 18:31:54+02:00,211702,464,480
2019-05-10 09:04:59+02:00,2019-05-12 00:41:54+02:00,142614,593,489
2019-05-10 22:37:47+02:00,2019-05-23 16:09:41+02:00,1099914,570,485
2019-05-11 15:32:24+02:00,2019-05-13 12:10:54+02:00,160710,599,572
2019-05-11 15:33:10+02:00,2019-05-13 18:54:40+02:00,184889,599,503
2019-05-12 10:21:51+02:00,2019-05-17 09:16:45+02:00,428094,597,558
2019-05-13 07:02:55+02:00,2019-05-14 20:24:55+02:00,134519,519,627
2019-05-13 09:12:51+02:00,2019-05-16 08:06:03+02:00,255192,609,386
2019-05-13 11:42:33+02:00,2019-05-16 09:14:29+02:00,250315,402,385
2019-05-13 11:59:52+02:00,2019-05-14 14:43:44+02:00,96231,414,582
2019-05-14 08:40:51+02:00,2019-05-15 18:27:47+02:00,121616,594,574
2019-05-14 12:26:07+02:00,2019-05-19 12:09:19+02:00,430991,440,410
2019-05-14 15:47:15+02:00,2019-05-15 19:05:40+02:00,98305,571,515
2019-05-14 20:05:28+02:00,2019-05-16 14:54:16+02:00,154127,477,486
2019-05-15 07:48:16+02:00,2019-05-16 08:44:52+02:00,89795,734,739
2019-05-15 14:29:36+02:00,2019-05-25 17:59:15+02:00,876579,384,418
2019-05-15 16:07:14+02:00,2019-05-19 00:54:16+02:00,290821,557,423
2019-05-15 16:17:59+02:00,2019-05-17 15:33:30+02:00,170131,431,485
2019-05-15 18:52:10+02:00,2019-05-21 09:21:32+02:00,484162,437,555
2019-05-16 13:29:22+02:00,2019-05-18 20:03:02+02:00,196420,384,413
2019-05-16 13:33:14+02:00,2019-05-20 07:50:09+02:00,325015,495,538
2019-05-16 14:26:30+02:00,2019-05-22 11:04:54+02:00,506304,611,556
2019-05-16 15:54:49+02:00,2019-05-19 19:58:11+02:00,273802,407,601
2019-05-16 17:53:07+02:00,2019-05-29 07:28:36+02:00,1085728,485,437
2019-05-16 20:01:30+02:00,2019-05-17 22:48:23+02:00,96412,422,436
2019-05-16 20:54:17+02:00,2019-05-18 09:57:04+02:00,133366,597,489
2019-05-17 14:11:05+02:00,2019-05-19 02:46:36+02:00,131730,413,514
2019-05-18 11:46:58+02:00,2019-05-29 22:51:00+02:00,990241,396,512
2019-05-18 19:00:20+02:00,2019-05-20 07:27:11+02:00,131211,410,571
2019-05-18 23:45:36+02:00,2019-05-20 07:26:45+02:00,114069,414,571
2019-05-20 08:16:11+02:00,2019-05-21 08:44:44+02:00,88113,739,598
2019-05-20 16:23:21+02:00,2019-05-21 21:19:54+02:00,104193,414,537
2019-05-20 20:41:32+02:00,2019-05-22 05:03:41+02:00,116529,512,443
2019-05-21 22:04:46+02:00,2019-05-23 12:01:51+02:00,136624,553,494
2019-05-23 17:50:55+02:00,2019-05-25 03:10:16+02:00,119960,624,421
2019-05-23 18:01:12+02:00,2019-05-25 11:25:55+02:00,149083,518,538
2019-05-23 18:51:02+02:00,2019-05-26 08:13:26+02:00,220944,625,484
2019-05-23 21:39:34+02:00,2019-05-25 02:04:15+02:00,102280,430,408
2019-05-24 06:44:27+02:00,2019-05-26 03:10:17+02:00,159950,545,447
2019-05-24 10:35:18+02:00,2019-05-25 10:59:49+02:00,87870,450,396
2019-05-24 20:32:57+02:00,2019-05-27 09:57:31+02:00,221073,451,529
2019-05-25 15:28:34+02:00,2019-05-29 17:50:45+02:00,354131,460,381
2019-05-25 16:33:37+02:00,2019-05-26 20:27:34+02:00,100437,562,542
2019-05-25 18:39:33+02:00,2019-05-31 10:13:12+02:00,488019,494,538
2019-05-25 19:41:08+02:00,2019-05-27 18:31:31+02:00,168623,489,390
2019-05-26 00:57:17+02:00,2019-05-30 19:41:42+02:00,413064,478,485
2019-05-26 15:54:15+02:00,2019-05-29 14:11:07+02:00,253011,443,445
2019-05-27 09:17:20+02:00,2019-05-28 20:37:36+02:00,127216,455,499
2019-05-27 15:28:16+02:00,2019-05-30 22:40:32+02:00,285135,734,495
2019-05-28 12:39:09+02:00,2019-05-30 16:46:16+02:00,187627,491,497
2019-05-29 08:21:45+02:00,2019-05-31 11:17:10+02:00,183324,456,534
2019-05-29 16:10:12+02:00,2019-05-30 18:42:14+02:00,95522,396,388
2019-05-29 22:01:47+02:00,2019-05-31 03:22:52+02:00,105665,380,495
2019-05-30 18:12:18+02:00,2019-06-01 13:20:40+02:00,155302,593,392
2019-05-30 19:28:05+02:00,2019-06-05 08:10:40+02:00,477755,443,437
2019-05-30 21:48:12+02:00,2019-06-01 16:46:01+02:00,154668,433,511
2019-05-31 00:04:01+02:00,2019-06-01 15:50:22+02:00,143180,447,572
2019-05-31 21:36:41+02:00,2019-06-03 09:49:54+02:00,216793,537,412
2019-05-31 23:19:42+02:00,2019-06-02 18:08:25+02:00,154122,438,423
2019-06-01 20:01:24+02:00,2019-06-06 21:08:50+02:00,436045,424,572
2019-06-01 23:37:40+02:00,2019-06-03 17:45:28+02:00,151668,408,411
2019-06-02 05:05:20+02:00,2019-06-04 20:16:50+02:00,227489,558,537
2019-06-02 07:18:04+02:00,2019-06-03 14:42:18+02:00,113054,416,443
2019-06-02 19:55:15+02:00,2019-06-03 22:02:49+02:00,94054,586,447
