started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2019-08-01 11:53:06+02:00,2019-08-02 13:07:22+02:00,90855,30,95
2019-08-09 20:13:03+02:00,2019-08-10 22:12:04+02:00,93541,97,56
2019-08-21 12:35:07+02:00,2019-08-25 16:04:30+02:00,358163,41,105
2019-08-25 18:32:41+02:00,2019-09-01 17:29:14+02:00,600993,52,52
2019-08-26 13:28:39+02:00,2019-08-27 15:23:18+02:00,93279,41,43
2019-08-26 22:47:56+02:00,2019-09-01 19:43:24+02:00,507327,236,268
2019-09-09 19:14:47+02:00,2019-09-17 12:18:49+02:00,666241,1,1
2019-09-10 11:35:31+02:00,2019-09-11 19:14:09+02:00,113917,94,180
2019-10-07 10:25:12+02:00,2019-10-09 01:50:28+02:00,141915,1,30
2019-10-25 21:07:38+02:00,2019-10-28 13:24:04+01:00,234986,29,148
2019-10-26 08:35:53+02:00,2019-10-27 17:22:06+01:00,121573,47,20
2019-11-10 17:26:18+01:00,2019-11-12 12:33:52+01:00,155253,21,21
2019-11-12 18:37:05+01:00,2019-11-14 12:00:07+01:00,148982,20,109
2019-11-13 18:04:37+01:00,2019-11-18 12:07:39+01:00,410582,133,62
2020-06-13 17:53:33+02:00,2020-06-15 09:16:04+02:00,141751,1881,20
2021-09-23 07:30:19+02:00,2021-09-24 10:44:36+02:00,98057,268,9
