started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2019-04-14 21:11:28+02:00,2019-04-16 09:01:53+02:00,129024,806,638
2019-04-20 20:53:29+02:00,2019-04-22 11:52:13+02:00,140323,83,151
2019-04-22 23:13:49+02:00,2019-04-24 13:57:09+02:00,139399,157,806
2019-04-23 19:05:06+02:00,2019-04-24 21:04:08+02:00,93542,812,58
2019-04-28 20:25:44+02:00,2019-04-30 14:56:17+02:00,153032,220,7
2019-04-29 06:27:05+02:00,2019-04-30 09:25:07+02:00,97081,220,5
2019-04-30 15:56:27+02:00,2019-05-01 16:42:25+02:00,89158,368,806
2019-05-06 22:42:15+02:00,2019-05-09 12:23:12+02:00,222057,150,809
2019-05-10 15:22:42+02:00,2019-05-14 10:12:37+02:00,326995,640,819
2019-05-15 12:58:19+02:00,2019-05-16 16:03:46+02:00,97527,794,646
2019-05-16 14:24:16+02:00,2019-05-19 13:44:10+02:00,256794,34,7
2019-05-21 22:39:00+02:00,2019-05-23 01:31:49+02:00,96769,815,804
2019-06-01 19:13:30+02:00,2019-06-02 21:28:09+02:00,94479,221,22
2019-06-01 19:51:49+02:00,2019-06-02 21:00:38+02:00,90528,640,219
2019-06-07 18:50:05+02:00,2019-06-11 15:51:08+02:00,334862,116,116
2019-06-14 07:06:46+02:00,2019-06-15 15:48:51+02:00,117725,794,817
2019-06-14 22:54:23+02:00,2019-06-19 10:53:09+02:00,388726,220,789
2019-06-16 01:51:57+02:00,2019-06-17 03:19:31+02:00,91653,807,797
2019-06-19 13:44:08+02:00,2019-06-20 13:51:12+02:00,86823,815,646
2019-06-21 14:30:48+02:00,2019-06-23 13:44:03+02:00,169994,819,98
2019-06-24 17:02:34+02:00,2019-06-25 17:16:46+02:00,87252,150,806
2019-06-27 02:22:54+02:00,2019-06-28 03:05:36+02:00,88961,819,301
2019-06-27 16:37:13+02:00,2019-06-29 08:55:30+02:00,145097,810,22
2019-06-28 16:24:55+02:00,2019-07-02 14:56:59+02:00,340323,814,217
2019-06-28 19:26:45+02:00,2019-06-30 17:30:44+02:00,165838,814,132
2019-07-04 23:13:35+02:00,2019-07-16 11:39:58+02:00,995182,98,58
2019-07-08 06:58:03+02:00,2019-07-11 07:44:58+02:00,262015,812,150
2019-07-12 18:51:57+02:00,2019-07-18 10:47:24+02:00,489326,641,640
2019-07-15 18:22:42+02:00,2019-07-17 00:52:50+02:00,109807,83,222
2019-07-15 18:25:15+02:00,2019-07-17 00:52:53+02:00,109657,83,222
2019-07-25 18:15:02+02:00,2019-07-27 00:55:50+02:00,110448,814,22
2019-07-27 20:55:23+02:00,2019-07-29 03:02:33+02:00,108429,75,22
2019-08-05 13:58:45+02:00,2019-08-13 10:18:58+02:00,678012,815,815
2019-08-23 16:15:20+02:00,2019-08-25 12:23:20+02:00,158880,791,33
2019-08-30 13:32:18+02:00,2019-08-31 15:15:27+02:00,92589,2,24
2019-09-10 23:36:10+02:00,2019-09-12 13:57:36+02:00,138086,788,788
2019-09-22 17:13:41+02:00,2019-09-23 20:35:49+02:00,98527,22,642
2019-10-12 13:33:49+02:00,2019-10-13 17:19:59+02:00,99969,788,646
2019-10-14 21:43:11+02:00,2019-10-16 13:36:17+02:00,143586,5,223
2019-10-18 19:58:53+02:00,2019-10-20 01:38:58+02:00,106805,817,908
2019-10-19 17:37:36+02:00,2019-10-20 21:09:36+02:00,99119,156,810
2019-10-25 07:55:15+02:00,2019-10-26 13:53:14+02:00,107878,814,83
2019-10-26 21:45:15+02:00,2019-10-30 12:01:01+01:00,314146,117,368
2019-11-01 21:41:02+01:00,2019-11-05 13:22:34+01:00,315691,789,83
2019-11-07 11:22:49+01:00,2019-11-08 12:32:33+01:00,90584,817,221
2019-11-08 18:05:55+01:00,2019-11-09 19:05:47+01:00,89991,807,221
2019-11-14 23:48:15+01:00,2019-11-16 14:21:13+01:00,138778,220,368
2019-11-16 22:32:12+01:00,2019-11-17 23:41:54+01:00,90582,82,22
2019-11-20 15:50:26+01:00,2019-11-25 11:51:31+01:00,417665,814,803
2019-11-25 21:47:26+01:00,2019-11-28 15:01:58+01:00,234871,809,221
2019-12-22 12:50:42+01:00,2019-12-26 14:43:22+01:00,352360,815,817
2019-12-24 22:08:51+01:00,2019-12-26 09:53:52+01:00,128701,803,646
2019-12-25 00:12:46+01:00,2019-12-26 11:01:39+01:00,125332,806,809
2020-01-09 23:09:05+01:00,2020-01-11 21:31:21+01:00,166936,24,7
2020-01-17 20:01:50+01:00,2020-01-24 12:33:36+01:00,577906,807,7
2020-01-20 07:23:01+01:00,2020-01-21 23:25:11+01:00,144129,83,58
2020-02-06 10:00:28+01:00,2020-02-08 12:06:19+01:00,180350,117,3
2020-02-15 13:08:36+01:00,2020-02-17 00:08:21+01:00,125985,219,220
2020-02-17 16:04:51+01:00,2020-02-27 08:59:28+01:00,838476,814,819
2020-03-07 15:52:18+01:00,2020-03-08 18:59:13+01:00,97615,368,75
2020-03-13 08:02:09+01:00,2020-03-14 15:24:17+01:00,112927,220,3
2020-04-10 11:52:03+02:00,2020-04-14 09:43:03+02:00,337860,819,157
2020-04-10 11:52:18+02:00,2020-04-12 19:02:07+02:00,198588,819,157
2020-04-10 18:10:44+02:00,2020-04-12 00:44:29+02:00,110025,215,788
2020-04-10 21:52:16+02:00,2020-04-14 09:01:38+02:00,299361,814,646
2020-04-11 16:35:50+02:00,2020-04-15 15:04:31+02:00,340120,1048,3
2020-04-17 17:20:37+02:00,2020-04-22 14:34:02+02:00,422005,117,132
2020-04-19 15:41:50+02:00,2020-04-20 22:05:09+02:00,109399,75,131
2020-04-24 22:26:18+02:00,2020-04-26 01:10:09+02:00,96230,132,219
2020-04-25 10:59:18+02:00,2020-04-26 14:45:18+02:00,99960,640,33
2020-04-25 12:17:18+02:00,2020-04-27 11:26:35+02:00,169756,222,22
2020-04-25 20:08:29+02:00,2020-04-27 12:04:32+02:00,143762,806,222
2020-04-26 16:07:30+02:00,2020-04-27 17:54:38+02:00,92827,819,640
2020-04-29 16:04:46+02:00,2020-05-01 17:45:28+02:00,178841,5,215
2020-04-30 18:44:36+02:00,2020-05-02 05:14:00+02:00,124163,817,75
2020-06-12 19:19:47+02:00,2020-06-13 20:29:23+02:00,90576,1047,69
2020-06-12 21:52:02+02:00,2020-06-16 14:06:32+02:00,317669,816,82
2020-06-12 23:33:19+02:00,2020-06-14 04:19:41+02:00,103581,368,3
2020-06-13 18:04:49+02:00,2020-06-15 09:29:18+02:00,141869,117,49
2020-06-14 16:35:13+02:00,2020-06-16 10:36:11+02:00,151258,804,811
2020-06-14 17:47:14+02:00,2020-06-15 19:15:30+02:00,91695,806,789
2020-06-14 18:08:31+02:00,2020-06-15 21:48:25+02:00,99593,790,24
2021-09-24 13:17:08+02:00,2021-09-28 09:04:13+02:00,330424,802,220
